customerName,customerId,customerDomainName,maxQuantity
NoBroker Technologies Solutions Pvt Ltd,60d0cf59-be8e-4485-ad16-057dc5b1bce1,nobroker.in,1000.0
Mirafra Software Technologies Pvt Ltd,7be66c91-cab4-442a-8f0f-4b0f91b44c7c,mirafra2.onmicrosoft.com,700.0
ZISPL,ff6e1b69-272e-4b15-835a-954f9115597a,zispl.com,500.0
The Dollar Business,86618d83-832a-4160-a66b-b860822c7e15,thedollarbusiness.com,310.0
ILENSYS TECHNOLOGIES PVT. LTD.,5b5095c1-86b9-4a36-9196-f6a16fe048f5,ilensys.com,300.0
ABSOLUTE BARBECUE PVT. LIMITED,c14676c2-2297-4766-ac91-266ffd443002,absolute-barbecue.com,300.0
Jumbotail Technologies Private Limited,b861db0b-3c1e-4c4d-962b-d7bff4ee91b1,jumbotail.com,300.0
Annet Technologies (Gujarat),7f6ec862-e29c-4e32-8fc8-192ac66cfdca,annet50.onmicrosoft.com,300.0
TRDFIN Support Services Private Limited,ce869ded-002d-4b95-ac13-1496c7585c63,trdfin.in,300.0
Global Tree Careers Private Limited,317bb271-825c-412a-b618-e76c7f845528,globaltree.co.in,295.0
CELON LABORATORIES PRIVATE LIMITED,67bc1e01-c4b2-4d0b-bbaa-6d61735ee410,celonlabs.com,290.0
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,287.0
D2K Technologies India Pvt. Ltd.,5366b679-3862-41b8-953c-530969491bc3,d2kindia.com,275.0
Nitya Software Solutions Inc,ada8f7d6-a4c9-4d8e-9ac5-744da359793d,nityainc.com,260.0
Metronation Chennai Television Pvt. Ltd.,db51d49d-9126-40bf-a184-9b351b776c10,dttv.in,255.0
COUNSELINDIA SERVICES PRIVATE LIMITED,437f99cc-7708-4608-a8fe-93d4eb5b48e5,counselindiaservices.in,250.0
Ceremorphic Technologies Private Limited,adeafed9-d7d2-42f5-86d1-022e3b0a0d9e,ceremorphic.com,250.0
