,Service Name,SKU Name,SKU ID,Date Added
0,Secured Postgresql on Windows 2012 R2 (3F7D-6DF5-9FEA),Licensing Fee for Standard Plan on VM with 0 to 1 VCPU,578C-5A2A-71EF,"July 31, 2020"
1,Secured Postgresql on Windows 2012 R2 (3F7D-6DF5-9FEA),Licensing Fee for Standard Plan on VM with 12 VCPU or more,4202-525F-A28E,"July 31, 2020"
2,Secured Postgresql on Windows 2012 R2 (3F7D-6DF5-9FEA),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,541B-FA7D-6F74,"July 31, 2020"
3,Secured Postgresql on Windows 2012 R2 (3F7D-6DF5-9FEA),Licensing Fee for Standard Plan on VM with 4 to 7 VCPU,50F1-C345-C351,"July 31, 2020"
4,Secured Postgresql on Windows 2012 R2 (3F7D-6DF5-9FEA),Licensing Fee for Standard Plan on VM with 8 to 11 VCPU,F5FB-C04B-51D4,"July 31, 2020"
5,10TB All-Flash Qumulo File System Instance (FC98-BA31-7279),Licensing Fee for Standard Plan,DF8E-D1EC-B83E,"August 1, 2020"
6,3CX (DF08-BD3F-562D),Licensing Fee for Standard Plan,914E-D968-D7C7,"July 30, 2020"
7,5TB Hybrid Qumulo File System Instance (3100-DC74-AA0A),Licensing Fee for Standard Plan,F9ED-6568-E6E2,"August 1, 2020"
8,ACTIVEMQ (181E-332A-5B53),Licensing Fee for Standard Plan,FC19-2EE7-92FA,"July 31, 2020"
9,ADFS Windows Server 2016 (EEF5-99AE-6778),Licensing Fee for Standard Plan,B4AB-21B8-0D01,"July 31, 2020"
10,ADFS Windows Server 2019 (9706-C845-9EFE),Licensing Fee for Standard Plan,2E2B-A1A7-820D,"June 26, 2020"
11,AERIS Aeris Integration Service (039C-114D-082B),Premium Devices,A8F1-B18A-698E,"September 22, 2020"
12,AERIS Aeris Integration Service (039C-114D-082B),Standard Devices,A0A5-E53E-40C7,"September 22, 2020"
13,"AI/ML development, training & inference using Python & Jupyter (0E69-0162-6B36)",Licensing Fee for Standard Plan,862A-B0AB-7DBE,"August 1, 2020"
14,AISE PyTorch CPU Production (1E0A-E060-C394),Licensing Fee for Standard Plan,8ABC-2693-C551,"August 31, 2020"
15,AISE PyTorch NVidia GPU Production (3CEF-4445-C395),Licensing Fee for Standard Plan,ACC4-11B1-E498,"August 31, 2020"
16,AISE TensorFlow NVidia GPU Production (ADA4-0368-578C),Licensing Fee for Standard Plan,C304-E03F-08F9,"August 31, 2020"
17,ANALOG INNOVATION PVT LTD Parity (84FB-5EB1-AFB0),Licensing Fee for Parity on VM (CPU cost),9104-4F90-2388,"August 1, 2020"
18,ANALOG INNOVATION PVT LTD Parity (84FB-5EB1-AFB0),Licensing Fee for Parity on VM (RAM cost),4C76-64F9-C7E3,"August 1, 2020"
19,AODocs (EE7E-DBB7-8693),AODocs Application Platform Usage aodocs application platform per month,CAE7-17AA-D72B,"July 9, 2021"
20,AODocs (EE7E-DBB7-8693),AODocs Document Management Usage aodocs document management per month,009A-A46C-C4DA,"July 9, 2021"
21,APEX Protection Storage for Google (DDVE) (5536-FA17-93E2),Licensing Fee for Standard Plan,1510-9824-992E,"July 30, 2020"
22,API Secure (C4EF-6F54-1EC6),Enterprise API Security,247F-D645-1862,"June 26, 2020"
23,API Secure (C4EF-6F54-1EC6),Enterprise Serverless App Security,FDEA-422B-2A47,"June 26, 2020"
24,API Secure (C4EF-6F54-1EC6),Enterprise Storage & Database Security,DC7F-E072-5D11,"June 26, 2020"
25,API Secure (C4EF-6F54-1EC6),Enterprise WebApps Security,7BC9-CB27-8D95,"June 26, 2020"
26,API Secure (C4EF-6F54-1EC6),Standard API Security,A72F-E6A0-A493,"June 26, 2020"
27,API Secure (C4EF-6F54-1EC6),Standard Serverless App Security,05A6-4B3A-988F,"June 26, 2020"
28,API Secure (C4EF-6F54-1EC6),Standard Storage & Database Security,BB25-1D95-4F0B,"June 26, 2020"
29,API Secure (C4EF-6F54-1EC6),Standard WebApps Security,FDDF-BE28-3DA4,"June 26, 2020"
30,ASP.NET Framework (3143-A712-DB14),Licensing Fee for Standard Plan,6075-9298-8C3D,"July 30, 2020"
31,ATutor (AB58-81D8-F401),Licensing Fee for Standard Plan,F91E-9F73-6DDC,"July 31, 2020"
32,AXI AI Forecast ML (B681-1E96-9DE3),Licensing Fee for AXI AI Forecast ML,3B15-E65F-E92B,"June 26, 2020"
33,AXI AI SAP EasyConnect (4898-7F3B-F8BB),Licensing Fee for SAP BW Easy Connect,3E5F-28E3-5BA0,"June 26, 2020"
