CP ID,Microsoft Id,Invoice Number,Order Date,Item Id,Item Name,Item Description,Quantity,Unit Price
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202305867,2023-08-30,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [24-Jun-2023 to 30-Jun-2023] [purpletalk.onmicrosoft.com],45,139.53
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202305867,2023-08-30,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [01-Jul-2023 to 18-Jul-2023] [purpletalk.onmicrosoft.com],45,358.8
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202305867,2023-08-30,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [19-Jul-2023 to 31-Jul-2023] [purpletalk.onmicrosoft.com],46,259.13
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202305867,2023-08-30,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [01-Aug-2023 to 29-Aug-2023] [purpletalk.onmicrosoft.com],46,578.07
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202305867,2023-08-30,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [30-Aug-2023 to 31-Aug-2023] [purpletalk.onmicrosoft.com],49,39.87
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202306881,2023-09-16,848,Microsoft Teams Essentials,Microsoft Teams Essentials [16-Sep-2023 to 15-Sep-2024] [purpletalk.onmicrosoft.com],35,1240.0
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202306973,2023-09-21,848,Microsoft Teams Essentials,Microsoft Teams Essentials [16-Sep-2023 to 15-Sep-2024] [xcubelabs.com],35,1240.0
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202307555,2023-10-04,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [01-Sep-2023 to 30-Sep-2023] [purpletalk.onmicrosoft.com],49,598.0
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202308060,2023-10-11,602,Power BI Premium Per User,Power BI Premium Per User [11-Oct-2023 to 10-Oct-2024] [purpletalk.onmicrosoft.com],4,8500.0
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202308093,2023-10-12,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [01-Oct-2023 to 31-Oct-2023] [purpletalk.onmicrosoft.com],49,598.0
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202309238,2023-11-08,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [01-Nov-2023 to 30-Nov-2023] [purpletalk.onmicrosoft.com],49,598.0
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202310526,2023-12-08,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [01-Dec-2023 to 31-Dec-2023] [purpletalk.onmicrosoft.com],49,598.0
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202311267,2024-01-04,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [01-Jan-2024 to 31-Jan-2024] [purpletalk.onmicrosoft.com],49,598.0
9,d95edf1e-2c7d-42ee-8e84-163229f87133,202313064,2024-02-07,659,Microsoft 365 Apps for business,Microsoft 365 Apps for business [01-Feb-2024 to 29-Feb-2024] [purpletalk.onmicrosoft.com],49,598.0
14,ff313fd2-564a-45b6-b63b-123b2786d89e,202303138,2023-06-26,307,Microsoft 365 Business Basic,Microsoft 365 Business Basic [22-Jun-2023 to 21-Jun-2024] [countonservices.onmicrosoft.com],8,1620.0
29,40f7b4ab-0420-4ca0-b5da-8fc65e333053,202301910,2023-05-26,307,Microsoft 365 Business Basic,Microsoft 365 Business Basic [26-May-2023 to 25-May-2024] [thrymr.net],134,1350.0
29,40f7b4ab-0420-4ca0-b5da-8fc65e333053,202301910,2023-05-26,654,Microsoft 365 Business Standard,Microsoft 365 Business Standard [26-May-2023 to 25-May-2024] [thrymr.net],6,7442.0
39,53d1ba62-4158-429b-8dc2-e996e938b1ed,202300873,2023-05-03,307,Microsoft 365 Business Basic,Microsoft 365 Business Basic [03-May-2023 to 02-May-2024] [watermarkexperience.com],80,1296.0
39,53d1ba62-4158-429b-8dc2-e996e938b1ed,202303590,2023-07-05,307,Microsoft 365 Business Basic,Microsoft 365 Business Basic [05-Jul-2023 to 02-May-2024] [watermarkexperience.com],10,1072.92
