customerName,customerId,customerDomainName,skuName,start_date,end_date,qty,amt
    Jupiter  Lifeline Hospital Ltd,b0e0b885-4ecd-4b44-a47c-2fb061d9ea7f,jupiterhospitalsltd.onmicrosoft.com,Power BI Pro,2023-04-30,2024-03-30,4.0,186307.84
 Proov Identity Services Pvt. Ltd,bbfc0353-022b-463b-8001-8371a775273e,carefits.ai,Power BI Pro,2023-04-18,2024-03-17,1.0,48908.64
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Enterprise Mobility + Securit,2023-04-09,2023-06-29,130.0,559603.2
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Enterprise Mobility + Securit,2023-06-30,2024-03-08,145.0,6493520.85
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Exchange Online Archiving for,2023-04-19,2023-05-18,1.0,202.96
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Exchange Online Archiving for,2023-06-23,2023-06-23,3.0,342.27
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Exchange Online Archiving for,2023-06-24,2023-06-29,2.0,456.36
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Exchange Online Archiving for,2023-06-30,2023-06-30,4.0,711.09
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Exchange Online Archiving for,2023-07-01,2024-03-29,2.0,20070.91
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Microsoft 365 Apps for busine,2023-06-07,2024-03-06,1.0,25063.2
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Microsoft 365 Business Basic,2023-04-09,2023-04-13,250.0,29500.0
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Microsoft 365 Business Basic,2023-04-14,2023-05-08,265.0,30974.95
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Microsoft 365 Business Basic,2023-05-09,2023-05-09,535.0,64271.88
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Microsoft 365 Business Basic,2023-05-10,2023-06-13,270.0,155502.97
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Microsoft 365 Business Basic,2023-06-14,2023-11-20,282.0,1090361.94
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Microsoft 365 Business Basic,2023-11-21,2024-02-21,287.0,1301945.48
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Microsoft 365 Business Basic,2024-02-22,2024-03-08,297.0,381052.49
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Power BI Pro,2023-07-19,2023-11-26,1.0,11115.6
1to1help.net,93698627-0574-46ba-9592-ca538bad4e02,1to1help.net,Power BI Pro,2023-11-27,2023-11-27,3.0,6866.97
