cx_name,july_total,august_total,diff
Flink Analytics & Insights Pvt. Ltd.,53200.75,14120.26,39080.49
P.A.C. Ramasamy Raja Polytechnic College,34345.08,2548.8,31796.28
MD&T Partners,18088.03,410.64,17677.39
NoBroker Technologies Solutions Pvt Ltd,130103.8,112902.4,17201.4
Head Digital Works Private Limited,14707.52,783.52,13924.0
Ornet Technologies Private Limited,167621.8,154629.38,12992.42
Brio Technologies Pvt Ltd.,172309.98,161681.27,10628.71
Default Directory,161950.28,151969.18,9981.1
VeARC Technologies Pvt Ltd,180821.2,171726.34,9094.86
PURVIEW INDIA CONSULTING AND SERVICES LLP,9841.2,1628.4,8212.8
Draup Business Solutions Private Limited,14781.97,7039.32,7742.65
rallis.com,71480.93,65888.48,5592.45
EEB ENGINEERING DESIGN AND CONSULTANCY SERVICES,11941.57,6954.16,4987.41
EULOGICA SERVICES INDIA PRIVATE LIMITED,19879.06,15335.28,4543.78
DIGITAL DI CONSULTANTS PRIVATE LIMITED,18325.31,14108.55,4216.76
Fasta Pizza Private Limited,15610.07,11837.95,3772.12
Brio Technologies Pvt Ltd,14113.97,10475.03,3638.94
TK Chain,10019.62,6517.27,3502.35
INSTELLARS GLOBAL CONSULTING PRIVATE LIMITED,120477.15,117032.4,3444.75
Tata Chemicals Limited,620424.25,617585.94,2838.31
Omnisys Systems,4206.75,1401.84,2804.91
Nandu Chemical Industries,6666.06,3917.6,2748.46
IKIO LED Lighting,3438.43,783.52,2654.91
Empulse Research and Data Analytics Pvt Ltd,75801.68,73561.2,2240.48
Biba Apparels Pvt Ltd,2997.2,944.0,2053.2
RIGA FOODS LLP,2987.96,1278.04,1709.92
ZISPL,22202.88,20721.59,1481.29
Finavi CFO Private Limited,9005.76,7599.51,1406.25
MERABT TECHNOLOGIES PRIVATE LIMITED,4422.64,3148.24,1274.4
VNR Jewellery Manufacturers,4587.84,3558.88,1028.96
Fission Computer Labs Pvt Ltd.,21230.56,20261.31,969.25
Ncourage Social Enterprise Foundation,54790.5,53885.88,904.62
eSwiftSoftware,29053.15,28338.16,714.99
Alphaa AV Solutions & Automation Pvt Ltd,12719.44,12012.4,707.04
Sakshath Technologies Private Limited,131319.91,130635.44,684.47
Jumbotail Technologies Private Limited,125922.99,125268.8,654.19
Baghirathi Travel Solutions Private Limited,36193.97,35612.4,581.57
Telecon Systems,20664.04,20150.62,513.42
CHN TECHNOLOGIES,4095.09,3691.35,403.74
TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,33450.94,33059.35,391.59
OnezeroOne Technologies (OPC) Private limited,1146.96,764.64,382.32
LANSUM ENPOINT DEVELOPERS,12169.73,11804.72,365.01
Techsol Systems India Private Limited,732.21,382.32,349.89
Virtuous Screening Pvt Ltd,2515.76,2173.65,342.11
ASTER CORPORATION,1752.54,1411.28,341.26
Association of Muslim Professionals,17831.51,17528.17,303.34
Xemplar Insights,23854.13,23566.96,287.17
Dr.Remedies Labs,12638.17,12361.68,276.49
J V N & Co LLP,6336.44,6121.84,214.6
INCOR HOSPITALS PVT LTD CORPORATE,5777.28,5569.6,207.68
Ispeck Digital Solutions Pvt Ltd,1784.16,1589.6,194.56
Raas Infotek LLC,1560.42,1368.8,191.62
Krijay Technologies Private Limited,19533.14,19362.97,170.17
VISHESH COUNTRY CACHE PRIVATE LIMITED,4261.55,4106.4,155.15
OSAAT Educational Charitable Trust,70421.77,70292.03,129.74
SUNSPRINT ENGINEERING,2454.76,2326.96,127.8
Royalux Lighting Private Limited,2681.28,2553.52,127.76
BridgeLabz Solutions Pvt Lltd,1818.79,1697.56,121.23
BI Mining Private Limited,8955.57,8867.31,88.26
Redseer Strategy Consultants Private Limited,18936.64,18876.64,60.0
Hunsply Works,9075.51,9048.24,27.27
Control P Solutions Private Limited,2693.27,2676.24,17.03
TIBREWALA ELECTROMECH PVT LTD,65716.32,65701.82,14.5
Indiyum Foods Pvt. Ltd,2750.84,2737.6,13.24
Hyderabad Institute of Neuro Sciences Pvt Ltd,1214.05,1213.39,0.66
Asfath Ahamed,4384.88,4384.88,0.0
M/S Cothas Coffee Co,11139.2,11139.2,0.0
MIND RUBY TECHNOLOGIES LLP,136.88,136.88,0.0
SANPHIO GLOBAL LLP,892.08,892.08,0.0
Brijraj Auto Pvt. Ltd,2190.08,2190.08,0.0
Epixel Web,5607.36,5607.36,0.0
Fliqa Reality Private Limited,3148.24,3148.24,0.0
Hibiz Consulting Private Limited,88230.96,88230.96,0.0
Exprs Techno Logistics Pvt. Ltd.,4875.76,4875.76,0.0
aquilasoftware.com,8713.12,8713.12,0.0
Melody Studios,136.88,136.88,0.0
Kayoma Trading Pvt. Ltd,2511.04,2511.04,0.0
Serole Technologies,39147.68,39147.68,0.0
integraautomation.net,4446.24,4446.24,0.0
TechN Vision Ventures Limited,1529.28,1529.28,0.0
Gangar Opticians Pvt. Ltd.,1473.53,1473.53,0.0
JANANI TOURS AND RESORTS,1453.76,1453.76,0.0
Pennywise Solutions Private Limited,20532.0,20532.0,0.0
Kerala Solid Waste Management Project (KSWMP),147471.68,147471.68,0.0
Viwito Primary,4332.96,4332.96,0.0
samratgroup.com,1567.04,1567.04,0.0
Helius Computech India Pvt Ltd,2147.6,2147.6,0.0
stratnel.com,1916.32,1916.32,0.0
EHook Systems Private Limited,1146.96,1146.96,0.0
eSwiftSoftware Pvt Ltd,382.32,382.32,0.0
sPA,3898.72,3898.72,0.0
Datastreet Solutions Pvt Ltd,509.76,509.76,0.0
Dandu Biosciences Pvt. Ltd,6683.52,6683.52,0.0
NATUSERVE FOOD PACKSS PRIVATE LIMITED,637.2,637.2,0.0
Jobs Xpert,127.44,127.44,0.0
Airtranslink Travels,410.64,410.64,0.0
Petroskids Engineering Services,1784.16,1784.16,0.0
Karnataka Metal Company,4332.96,4332.96,0.0
ALPHASTREET INDIA PRIVATE LIMITED,684.4,684.4,0.0
GCI,136.88,136.88,0.0
Zluri,10903.2,10903.2,0.0
Onsite Batteries,556.96,556.96,0.0
Med Clad,726.88,726.88,0.0
trroyls.in,136.88,136.88,0.0
Jesvid Cryo Technologies Pvt.Ltd,1368.8,1368.8,0.0
HealthPlix Technologies,30632.8,30632.8,0.0
